Timestamp,Role/ Rôle,Salary/Salaire,Bonuses (not added to base salary)/Bonus,Total Compensation/Rémunération complète,Industry/Domaine,Years of experience/Années d’expérience,Location - be vague if this can uniquely identify you/Lieux - Soyez vague si cela permet votre identification,Are you a remote worker/ Travaillez-vous à distance?,Commute Time (Average)/Temps de voyagement (Moyenne),Additional Compensation/ Rémunération aditionnelle,Notes or Extra Information/Notes ou information supplémentaire,Average merit increase %,Certifications,Do you have a degree?
1/26/2018 11:20:16,Tier 2 SOC,"$75,000.00",,,Banking,3,Toronto,No,31 - 45 mins,"Pension, RRSP Matching, Medical Benefits",,,,
1/26/2018 11:22:20,penetration tester,"$95,000.00",,,Financial,6,GTA,Yes,0 minutes - Remote worker,"Pension, RRSP Matching, Medical Benefits, Stock Options",,,,
1/26/2018 11:33:02,Tier 1 SOC - Shift Analyst,"$60,000.00",,,Banking,1,Toronto,No,31 - 45 mins,"Pension, RRSP Matching, Medical Benefits",,,,
1/26/2018 11:33:49,SOC Manager,"$110,000.00",,,Banking,5,Toronto,No,15 - 30 mins,"Pension, RRSP Matching, Medical Benefits",,,,
1/26/2018 11:34:58,Associate Consultant,"$85,000.00",,,Cyber Security Consulting,3,Toronto,Yes,46 - 60 mins,"Medical Benefits, Stock Options, Remote work flexibility (for those that are not 100% remote)",,,,
1/26/2018 11:43:43,Information Security Officer,"$135,000.00",,,Financial,7,Toronto Downtown Core,No,1h - 1h30m,None of these,I can generally work from home here and there. I get to go to a lot of conferences and travel to other office locations throughout the year,,,
1/26/2018 11:49:41,Information Security Officer,"$125,000.00",,,fintech,5,Toronto,No,1h - 1h30m,"Medical Benefits, Stock Options, Remote work flexibility (for those that are not 100% remote)",,,,
1/26/2018 12:07:25,InfoSec Analyst,"$85,000.00",Variable based on company performance,"$91,000.00",Manufactoring,5,Toronto,Yes,0 minutes - Remote worker,"Pension, RRSP Matching, Medical Benefits, Stock Options",Total Compensation includes 7% on-call premium. ,,,
1/26/2018 20:56:17,QA,"$85,000.00",,"$85,000.00",SaaS,20,Eastern Canada,No,31 - 45 mins,"Pension/Pension, RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance",,,RHCE,No
5/24/2018 13:59:43,Senior Security Analyst,"$95,000.00","$10,000.00","$110,000.00",Insurance,6,GTA,Yes,46 - 60 mins,"RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Flex Time/Horaire flexible, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance, Training or conference budget",,4,"CISSP,OSCE,OSCP","Yes, but in an unrelated field"
