Timestamp,Role/ Rôle,Salary/Salaire,Bonuses (not added to base salary)/Bonus,Total Compensation/Rémunération complète,Industry/Domaine,Years of experience/Années d’expérience,Location - be vague if this can uniquely identify you/Lieux - Soyez vague si cela permet votre identification,Are you a remote worker/ Travaillez-vous à distance?,Commute Time (Average)/Temps de voyagement (Moyenne),Additional Compensation/ Rémunération aditionnelle,Notes or Extra Information/Notes ou information supplémentaire,Average merit increase %,Certifications,Do you have a degree?
1/20/2019 12:57:37,Analyste en sécurité,"$56,000.00","$4,000.00","$60,000.00",Assurances,2,Québec,No,< 15 mins,"Pension/Pension, RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Stock Options/Options d’achat, Flex Time/Horaire flexible, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance, Training or conference budget, Referral Bonuses",,1,Non,Yes
1/23/2019 0:01:36,Specialist Solution and Systems Integration,"$90,000.00","$9,000.00","$109,000.00",Transportation,15,Montreal,No,< 15 mins,"RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Stock Options/Options d’achat, Training or conference budget",,,,No
1/28/2019 16:04:21,Senior security analyst,90000,N/A,90000,Technologies,15,Quebec,Yes,0 minutes - Remote worker,Flex Time/Horaire flexible,,2,,Yes
1/28/2019 16:05:28,Consultant en Cybersécurité,80000,,80000,IT / Gov,2,Montreal,No,15 - 30 mins,"Pension/Pension, Medical Benefits/Assurance Médicale, Flex Time/Horaire flexible, Training or conference budget",,4,,No
1/28/2019 16:10:52,Ethical Hacker,84000,,92500,Finance,7,Montreal,No,46 - 60 mins,"Pension/Pension, RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Stock Options/Options d’achat, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance, Training or conference budget, Referral Bonuses",,5,,Yes
1/28/2019 16:22:53,Vulnerability Researcher,96000,7-15%,130000,Hosting,6,quebec,Yes,0 minutes - Remote worker,"RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Stock Options/Options d’achat, Training or conference budget, Referral Bonuses",,2,,No
1/28/2019 16:52:37,Pentester,75000,,70000,Infosec,5,Quebec,No,< 15 mins,"RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Flex Time/Horaire flexible, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance, Training or conference budget, Referral Bonuses",,,,Yes
1/28/2019 17:07:30,Systems Engineer,120000,12000,134000,Consulting,6,GTA,Yes,0 minutes - Remote worker,"RRSP Matching/REER/RVER Cotisation de l’employeur, Medical Benefits/Assurance Médicale, Training or conference budget",,,MCSE,No
1/28/2019 17:14:22,Information Security consultant,85000,,85000,Consulting,10,Montreal,Yes,15 - 30 mins,"Medical Benefits/Assurance Médicale, Flex Time/Horaire flexible, Remote work flexibility (for those that are not 100% remote)/Flexibilité de travailler à distance, Training or conference budget, Referral Bonuses",,5,,Yes
1/28/2019 18:41:24,Security Specialist,75000,0,75000,Security,4,GTA,No,15 - 30 mins,"Medical Benefits/Assurance Médicale, Stock Options/Options d’achat, Flex Time/Horaire flexible, Training or conference budget, Referral Bonuses",,0,"SSCP, ITIL","Yes, but in an unrelated field"
